time;model_id;model_name;port_name;data
17.162;10;APIGateway;resOut;{Type:RESPONSE, CreationTime:7, Source:Executor1, Dest:JavaScript endpoint}
17.162;10;APIGateway;;{r: inf queue_size:0}
17.162;1;MockBucket;;inf
17.162;2;MockAPI;;inf
17.162;4;Database;;{r: inf queue_size:0}
17.162;6;Switch;;{queue_size:0}
17.162;7;LambdaDispatch;;{r: inf, queue_size:0, state: EMPTY, Execs: ['Available', 'Available']}
17.162;8;Executor1;;{state: SLEEPING}
17.162;9;Executor0;;{state: SLEEPING}
17.162;10;APIGateway;;{r: inf queue_size:0}
17.162;11;Bucket;;{r: inf queue_size:0}
